FIPS,State,County, Food Insecure %,Limited Healthy Food Access %,Diabetes %,Obesity %,Smoking %,Uninsured %,Free/Reduced Lunch %,Median Household Income,Food Insecure Score,Access Gap Score,Diabetes Score,Obesity Score,Smoking Score,Uninsured Score,Lunch Need Score,Income Need Score,Food Need Score,Health Risk Score,Final Priority Score
27001,Minnesota,Aitkin,13,11.34,9.3,36.2,18.9,7.72,56.95,"59,844",72.16,41.53,35.48,48.62,57.31,43.92,64.01,92.47,62.82,47.14,56.55
27003,Minnesota,Anoka,7.2,6.51,8.6,35.9,11.6,6.08,44.89,"96,661",12.37,22.61,24.19,46.96,14.62,25.71,43.14,43.55,29.48,28.59,29.12
27005,Minnesota,Becker,10.7,12.76,8.9,39.3,15.5,7.84,47.61,"71,719",48.45,47.12,29.03,65.75,37.43,45.27,47.85,76.69,53.08,44.07,49.47
27007,Minnesota,Beltrami,12.9,15.73,10.4,41.1,17.7,9.36,59.24,"65,855",71.13,58.75,53.23,75.69,50.29,62.18,67.97,84.48,68.9,59.74,65.24
27009,Minnesota,Benton,10,7.92,8.6,37.2,13.9,6.25,40.66,"74,677",41.24,28.14,24.19,54.14,28.07,27.64,35.83,72.76,41.12,35.47,38.86
27011,Minnesota,Big Stone,10.8,9.84,9.4,42.6,17,7.04,43.32,"62,245",49.48,35.65,37.1,83.98,46.2,36.45,40.42,89.28,50.26,55.76,52.46
27013,Minnesota,Blue Earth,10.6,16.99,9.9,42.1,18.5,5.97,41.15,"67,236",47.42,63.68,45.16,81.22,54.97,24.53,36.66,82.65,50.99,60.45,54.77
27015,Minnesota,Brown,8.9,4.04,9.3,39.9,18.3,5.69,41.82,"71,884",29.9,12.94,35.48,69.06,53.8,21.33,37.83,76.47,35.69,52.78,42.53
27017,Minnesota,Carlton,11.5,4.22,9.1,41.2,15.8,6.58,39.41,"75,512",56.7,13.63,32.26,76.24,39.18,31.29,33.66,71.65,41.39,49.23,44.52
27019,Minnesota,Carver,6,3.77,7.3,33.1,11,3.77,19.95,"129,437",0,11.86,3.23,31.49,11.11,0,0,0,2.37,15.28,7.53
27021,Minnesota,Cass,11.5,5.21,9.8,38.1,18.2,8.92,65.97,"61,490",56.7,17.51,43.55,59.12,53.22,57.34,79.6,90.28,60.29,51.96,56.96
27023,Minnesota,Chippewa,11.3,5.08,9,41.6,13.6,8.12,55.3,"75,774",54.64,17.01,30.65,78.45,26.32,48.42,61.15,71.3,50.51,45.14,48.36
27025,Minnesota,Chisago,7.9,4.89,8.5,38.3,16.7,5.24,32.36,"91,338",19.59,16.26,22.58,60.22,44.44,16.33,21.46,50.62,24.85,42.42,31.88
27027,Minnesota,Clay,10.8,4.56,8.9,35.1,14.2,5.74,41.78,"72,172",49.48,14.96,29.03,42.54,29.82,21.9,37.76,76.09,40.04,33.8,37.54
27029,Minnesota,Clearwater,13.1,15.15,9.6,39.2,17.2,10.48,59.24,"62,435",73.2,56.47,40.32,65.19,47.37,74.69,67.96,89.03,72.27,50.96,63.75
27031,Minnesota,Cook,10,8.93,8.4,34.8,12.3,8.06,49.55,"62,435",41.24,32.09,20.97,40.88,18.71,47.79,51.2,89.03,52.27,26.86,42.1
27033,Minnesota,Cottonwood,11.4,2.06,10,39.3,18.4,8.32,56.55,"63,898",55.67,5.17,46.77,65.75,54.39,50.65,63.31,87.08,52.38,55.64,53.68
27035,Minnesota,Crow Wing,10.8,3.73,8.9,38.6,17,7,45.48,"74,540",49.48,11.71,29.03,61.88,46.2,35.91,44.17,72.94,42.84,45.7,43.99
27037,Minnesota,Dakota,7.1,4.66,8.9,32.9,11.3,5.2,36.29,"100,012",11.34,15.34,29.03,30.39,12.87,15.9,28.27,39.1,21.99,24.09,22.83
27039,Minnesota,Dodge,7,3.36,8,37.6,12.6,4.91,32.67,"87,661",10.31,10.25,14.52,56.35,20.47,12.65,22.01,55.51,22.14,30.45,25.46
27041,Minnesota,Douglas,9.1,6.92,9.1,38.6,17.2,5.56,36.25,"76,508",31.96,24.22,32.26,61.88,47.37,19.91,28.19,70.33,34.92,47.17,39.82
27043,Minnesota,Faribault,10.7,4.47,9,37.2,14,7.79,51.9,"65,264",48.45,14.59,30.65,54.14,28.65,44.74,55.26,85.27,49.66,37.81,44.92
27045,Minnesota,Fillmore,9,0.74,9.3,37.2,16.2,8.55,36.42,"69,157",30.93,0,35.48,54.14,41.52,53.23,28.49,80.1,38.55,43.72,40.62
27047,Minnesota,Freeborn,10,8.3,10.4,40.6,17.6,9.84,58.61,"66,215",41.24,29.6,53.23,72.93,49.71,67.59,66.88,84,57.86,58.62,58.17
27049,Minnesota,Goodhue,9,3.01,8.3,36.4,14.6,5.93,32.98,"83,979",30.93,8.87,19.35,49.72,32.16,24.1,22.54,60.4,29.37,33.75,31.12
27051,Minnesota,Grant,10.4,14.28,9.4,38,16.7,7.06,43.71,"72,935",45.36,53.08,37.1,58.56,44.44,36.57,41.1,75.08,50.24,46.7,48.82
27053,Minnesota,Hennepin,8.7,3.82,7.9,27.4,12.1,6.05,44.66,"93,642",27.84,12.04,12.9,0,17.54,25.36,42.74,47.56,31.11,10.15,22.73
27055,Minnesota,Houston,8.4,2.55,9,38.4,17.8,4.66,44.32,"77,043",24.74,7.08,30.65,60.77,50.88,9.89,42.15,69.62,30.7,47.43,37.39
27057,Minnesota,Hubbard,11,6.3,8.7,40,16.1,8.67,58.19,"72,166",51.55,21.79,25.81,69.61,40.94,54.51,66.15,76.1,54.02,45.45,50.59
27059,Minnesota,Isanti,9.5,7.76,8.6,38.6,16.1,6.65,40.73,"85,799",36.08,27.51,24.19,61.88,40.94,32.04,35.95,57.98,37.91,42.34,39.68
27061,Minnesota,Itasca,12.2,8.7,8.4,34.6,15.2,7,53.81,"65,386",63.92,31.21,20.97,39.78,35.67,35.93,58.58,85.11,54.95,32.14,45.82
27063,Minnesota,Jackson,9.5,5.39,8.3,40,13.2,6.17,45.11,"72,413",36.08,18.2,19.35,69.61,23.98,26.76,43.52,75.77,40.07,37.65,39.1
27065,Minnesota,Kanabec,11,4.31,9.2,37.8,19.2,7.65,47.45,"70,384",51.55,13.97,33.87,57.46,59.06,43.2,47.58,78.47,46.95,50.13,48.22
27067,Minnesota,Kandiyohi,10,13.2,9.5,36.6,14.4,7.5,59.81,"69,160",41.24,48.83,38.71,50.83,30.99,41.52,68.95,80.09,56.12,40.18,49.75
27069,Minnesota,Kittson,9.8,8.1,9.1,39.3,17,5.21,45.42,"72,224",39.18,28.84,32.26,65.75,46.2,16.02,44.07,76.02,40.83,48.07,43.72
