Source_ID,County,Food_Shelf_Name,City,Address,Phone,Website,Service_Type,Latitude,Longitude,Source_URL,Retrieved_On,County_Method,Status
20974,Aitkin,First Lutheran Church Community Food Shelf,Aitkin,"107 2nd St SE, Aitkin, MN 56431, USA",218-927-2028,https://www.flc-aitkin.com/community-food-shelf,Food Shelf,46.527903,-93.7051396,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=7,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
10008,Aitkin,Hill City Area Food Shelf,Hill City,"113 Ione Ave NE, Hill City, MN 55748, USA",218 392-7730,,Food Shelf,46.9934906,-93.5967829,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=11,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
10026,Aitkin,Jacobson Food Shelf,Jacobson,"19942 650th Lane, Jacobson, MN 55752",218-244-2236,,Food Shelf,46.930586,-93.216676,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=13,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
10068,Aitkin,McGregor Area Food Shelf,McGregor,"181 North Maddy Street, McGregor, MN 55760, USA",218-448-2701,https://www.mcgregorareafoodshelf.org/,Food Shelf,46.6083418,-93.3117851,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=15,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
20795,Aitkin,Second Harvest Northland: Aitkin County,Palisade,"106 7th Ave Palisade, MN",(218) 336-2312,https://northernlakesfoodbank.org/find-food/mobile-food-pantry-program/,Food Shelf,46.7132862,-93.4885687,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=22,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
9863,Anoka,ACBC Food Shelf,Anoka,"2615 9th Ave North, Anoka, MN 55303",763-422-0046,http://www.acbcfoodshelf.com/,Food Shelf,45.2054609,-93.3735001,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=1,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
9910,Anoka,Centennial Community Food Shelf,Circle Pines,"200 Civic Heights Circle, Circle Pines, MN 55014, USA",763-784-2013,http://www.centennialfoodshelf.org/,Food Shelf,45.1437666,-93.1549175,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=4,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
14767,Anoka,Coon Rapids United Methodist Church- Matthew 25 Free Food Distribution,Coon Rapids,"10560 Hanson Blvd NW, Coon Rapids, MN 55433, USA",763-755-6990,https://www.facebook.com/SpiritofMatthew25,Food Shelf,45.162413,-93.3182731,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=5,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
9986,Anoka,Grace Evangelical Free Church,Fridley,"755 73rd Ave NE, Fridley, MN 55432",763-784-7199,https://gracefree.org/food-distribution,Food Shelf,45.101325,-93.252621,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=10,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
20782,Anoka,Hope for the Community- Anoka Ramsey Community College,Coon Rapids,"11200 Mississippi Blvd NW, Coon Rapids, MN 55433, USA",763-757-4266,https://hopeforthecommunity.com/,Food Shelf,45.1725776,-93.3523965,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=12,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
20816,Anoka,Hope for the Community- Anoka Technical College,Anoka,"1355 Highway 10 Northwest, Anoka, MN, USA",763-757-4266,https://hopeforthecommunity.com/,Food Shelf,45.2165969,-93.4170432,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=12,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
10012,Anoka,Hope for the Community- Blaine,Blaine,"1264 109th Ave NE, Blaine, MN 55434",763-757-4266,https://hopeforthecommunity.com/,Food Shelf,45.168118,-93.239093,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=12,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
20848,Anoka,Hope for the Community- Coon Rapids Middle School,Coon Rapids,"11600 Raven St NW, Coon Rapids, MN 55433, USA",,https://hopeforthecommunity.com/,Food Shelf,45.180748,-93.3239458,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=12,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
20849,Anoka,Hope for the Community- Hope 4 Youth,Anoka,"2665 4th Avenue North Suite 40 Anoka, MN 55303",,https://hopeforthecommunity.com/,Food Shelf,45.1977428,-93.3871758,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=12,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
20375,Anoka,MAS MN Blaine Food Shelf,Blaine,"12175 Aberdeen St NE, Blaine, MN 55449, USA",,https://masmn.org/social-services/,Food Shelf,45.1913367,-93.2324431,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=15,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
20009,Anoka,Manna Market FCC – Food Distribution Center,Fridley,"6390 University Ave NE, Fridley, MN 55432, USA",763) 571-1657,https://www.fridleycov.org/,Food Shelf,45.0841148,-93.2643514,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=15,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
20824,Anoka,Manna Market Substance,Spring Lake Park,"8299 Central Ave NE, Spring Lake Park, MN, USA",763-205-1035,https://mannamarketmn.org/,Food Shelf,45.1182803,-93.2364664,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=15,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
13560,Anoka,Manna Market – Linwood Covenant Church,Wyoming,"6565 Viking Blvd NE, Wyoming, MN 55092, USA",651-238-7677,http://linwoodcovenant.org/home,Food Shelf,45.3662414,-93.1026129,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=14,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
10101,Anoka,North Anoka County Emergency (NACE) Food Shelf,East Bethel,"18511 Highway 65 NE, East Bethel, MN 55011",763-434-7685,https://nacefoodshelf.org/,Food Shelf,45.3055049,-93.233205,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=17,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
10153,Anoka,SACA Food Shelf,Columbia Heights,"627 38th Ave NE, Columbia Heights, MN 55421",763-789-2444,http://www.sacafoodshelf.org/,Food Shelf,45.036448,-93.255388,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=21,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
13116,Anoka,Salvation Army Anoka County,Blaine,"1201 89th Ave NE Suite 130, Blaine, MN, 55113",763-755-6873,https://centralusa.salvationarmy.org/northern/social-services-office-anoka/,Food Shelf,45.1329532,-93.2395929,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=21,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
20635,Anoka,The Harbor Food Shelf at Faith Lutheran,Coon Rapids,"11115 Hanson Blvd NW, Coon Rapids, MN 55433, USA",763-755-3530,https://www.faithlutherancr.org/the-harbor,Food Shelf,45.1725712,-93.3162658,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=25,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
13536,Anoka,Trinity Lutheran Church and School Manna Market,St Francis,"3812 229th Ave NW, St Francis, MN 55070, USA",763-753-1234,https://trinitysf.org/ministries/manna-market/,Food Shelf,45.3840306,-93.363074,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=26,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
9877,Becker,Becker County Food Pantry,Detroit Lakes,"610 Terry Street, Detroit Lakes, MN 56501, USA",218-846-0142,https://www.facebook.com/pages/category/Nonprofit-Organization/Becker-County-Food-Pantry-645405822231557/,Food Shelf,46.8331286,-95.8366526,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=2,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
10200,Beltrami,Ashange Wigamig,Red Lake,"St Marys Mission School, Red Lake, MN 56671, USA",218) 679-3615,https://www.freefood.org/l/saint-marys-mission-food-shelf,Food Shelf,47.8739206,-95.0307579,https://www.hungersolutions.org/find-help/?fwp_categories=food-shelves&fwp_paged=1,2026-09-01,Directory coordinates within county boundary,Listed; operation not independently confirmed
